Run,Gen,Rule,Fitness,all_potential_farms,combine,compare_distance,compare_dryness,compare_quality,compare_water_availability,compare_yeild,desire_migration,desire_social_presence,divide,get_max_one_of,get_min_one_of,homophily_age,homophily_agricultural_productivity,multiply,potential_family_farms,potential_farms_near_best_performers,potential_neighborhood_farms,subtract
0,2.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( compare-water-availability  ) ) (( homophily-age  ) )  ) )  ) ,1160.9358294066044,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( all-potential-farms  ) ) (( desire-social-presence  ) )  ) ,1377.117642033534,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-family-farms  ) ) (( desire-social-presence  ) )  ) ,1655.3193045451987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0,2.0,( get-min-one-of (( potential-farms-near-best-performers  ) ) (( desire-social-presence  ) )  ) ,1573.3801193608615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,851.9548110081897,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-family-farms  ) ) (( combine (( multiply (( compare-quality  ) ) (( compare-quality  ) )  ) ) (( combine (( divide (( compare-water-availability  ) ) (( compare-water-availability  ) )  ) ) (( combine (( compare-distance  ) ) (( compare-water-availability  ) )  ) )  ) )  ) )  ) ,1014.5038196083846,0.0,3.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-max-one-of (( potential-family-farms  ) ) (( multiply (( desire-migration  ) ) (( compare-yeild  ) )  ) )  ) ,1386.6989579573499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
0,0.0,( get-min-one-of (( potential-neighborhood-farms  ) ) (( subtract (( desire-social-presence  ) ) (( desire-migration  ) )  ) )  ) ,976.211554940834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,1522.4788996895816,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
0,1.0,( get-min-one-of (( all-potential-farms  ) ) (( multiply (( homophily-age  ) ) (( compare-yeild  ) )  ) )  ) ,1214.0877233544568,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
