,Factor0,Factor1,individual importance,individual lower quartile,individual median,individual std,individual upper quartile,individual whiskerhi,individual whiskerlo,total importance,total lower quartile,total median,total std,total upper quartile,total whiskerhi,total whiskerlo
0,0,,0.03474724115074648,0.009368932030142996,0.0219993978648451,0.040669310442770154,0.034690226685850686,0.03690004932615007,9.291335150982462e-06,0.03474724115074648,0.009368932030142996,0.0219993978648451,0.040669310442770154,0.034690226685850686,0.03690004932615007,9.291335150982462e-06
1,0,1.0,0.002153887950891436,0.0004924771762634182,0.0018642987694058337,0.0019309378539280667,0.003233066888781172,0.006713491359668509,1.7845997471981893e-05,0.04833473701658626,0.012435462351741563,0.03989088642205313,0.04223190589673724,0.06197292128694344,0.06677445042185068,0.0022524162249456456
2,0,2.0,0.002117896040607071,0.00043961031470420443,0.001150258155122715,0.0023481630044346314,0.00280854151035264,0.00507132105912993,4.5347761322371375e-06,0.05464998128818915,0.018097446924992787,0.029411184529339003,0.05100370749819076,0.09922881759072807,0.12082012985857767,0.0016702917283028145
3,0,3.0,0.0060510307463760675,0.0007948600486378972,0.0035025786423571645,0.0070188251065365906,0.007869976425739717,0.016835946674842554,1.895105980978785e-05,0.06961201893212317,0.024553614283087145,0.0463586265943403,0.06133926793167297,0.10277203426913958,0.08867457908169676,0.0021608253282871725
4,0,4.0,0.0019598902504453755,0.0002497511524402768,0.0008262560630814046,0.0034094869834736473,0.001863257155217967,0.002424184185558097,8.251433022641667e-06,0.04341192936047202,0.015576563980366893,0.02602751820953387,0.045300362731768455,0.03803817380611955,0.0351937150429761,0.0032782383146265554
5,0,5.0,0.0030594444506462405,0.00019694393632994288,0.0008802955388814928,0.0037717386827397434,0.005469042501376087,0.01142882859012915,1.2148499641229013e-05,0.052675337581705006,0.016814526302437356,0.03850122500710923,0.046713991725796544,0.06156669358015687,0.05323407994725997,0.002895524587007006
6,0,6.0,0.006148372755595141,0.0008385063498583934,0.003706959613911852,0.0070244442267278304,0.008947506582971242,0.014993109211113834,3.1997750714006935e-05,0.056639541590514667,0.026687421013398077,0.04011524879791885,0.04590077284276258,0.08197733529792219,0.07044514694238073,0.0029870517933493603
7,0,7.0,0.0023811385732940074,0.0001814906937755167,0.0004783169365579042,0.00528489677286978,0.0019756179461173228,0.002687423071809413,5.596770826065899e-06,0.04619604242669814,0.016504669676110778,0.02757872747310066,0.04735258392035157,0.05080743170766411,0.039916837644171636,0.0036278798361652127
8,0,8.0,0.002374170968868215,0.0002924326909133358,0.0007998299483169726,0.0036023311675409016,0.0015670059807315457,0.0017729864136468644,2.6072825615601012e-05,0.04256083098029862,0.012934519907931102,0.0341248458169575,0.0411864307600563,0.04319226306635719,0.04504552265163612,0.0002765027861317671
9,0,9.0,0.0009752125808367239,0.00016476800070932705,0.00041073598250165183,0.001090257798511239,0.0016514708837115416,0.0034516124196000775,6.654010963791632e-06,0.03856550342803832,0.010816652559051943,0.03017818796813481,0.041577153529549014,0.03726579739881668,0.03819329263045148,0.0005174088662910574
