,Unnamed: 0,Factor,fraction_individual,fraction_total
0,0,$F_{Dist}$,0.011287659728240106,0.011287659728240106
1,1,$F_{Dist}$,0.0053051033719005115,0.0053051033719005115
2,2,$F_{Dist}$,0.047974183786776016,0.047974183786776016
3,3,$F_{Dist}$,0.029089851302339362,0.029089851302339362
4,4,$F_{Dist}$,0.07072337862950466,0.07072337862950466
5,5,$F_{Dist}$,0.03483408915740613,0.03483408915740613
6,6,$F_{Dist}$,0.06322224174631899,0.06322224174631899
7,7,$F_{Dist}$,0.0061195905205092644,0.0061195905205092644
8,8,$F_{Dist}$,0.018234333588528055,0.018234333588528055
9,9,$F_{Dist}$,0.0051473533867121436,0.0051473533867121436
10,10,$F_{Dist}$,0.025661026847818867,0.025661026847818867
11,11,$F_{Dist}$,0.049735345576721546,0.049735345576721546
12,12,$F_{Dist}$,0.01788010656655509,0.01788010656655509
13,13,$F_{Dist}$,0.012681656371445277,0.012681656371445277
14,14,$F_{Dist}$,0.03630553696831569,0.03630553696831569
15,15,$F_{Dist}$,0.0368411457752645,0.0368411457752645
16,16,$F_{Dist}$,0.0040117490544676416,0.0040117490544676416
17,17,$F_{Dist}$,0.005153194949995239,0.005153194949995239
18,18,$F_{Dist}$,0.005186982613246673,0.005186982613246673
19,19,$F_{Dist}$,0.03104376876806922,0.03104376876806922
20,20,$F_{Dist}$,0.0990537025377766,0.0990537025377766
21,21,$F_{Dist}$,0.005004833227989828,0.005004833227989828
22,22,$F_{Dist}$,0.020515978306308413,0.020515978306308413
23,23,$F_{Dist}$,0.013549172341003463,0.013549172341003463
24,24,$F_{Dist}$,0.011547528566365142,0.011547528566365142
25,25,$F_{Dist}$,0.024017488958132587,0.024017488958132587
26,26,$F_{Dist}$,0.003360785021036421,0.003360785021036421
27,27,$F_{Dist}$,0.006284670002594395,0.006284670002594395
28,28,$F_{Dist}$,0.02766441943316115,0.02766441943316115
29,29,$F_{Dist}$,0.030755078532864213,0.030755078532864213
30,30,$F_{Dist}$,0.03760768324683531,0.03760768324683531
31,31,$F_{Dist}$,0.029229788331417175,0.029229788331417175
32,32,$F_{Dist}$,0.05853362923585648,0.05853362923585648
33,33,$F_{Dist}$,0.04019014454744738,0.04019014454744738
34,34,$F_{Dist}$,0.01838266587489775,0.01838266587489775
35,35,$F_{Dist}$,0.00445376104142525,0.00445376104142525
36,36,$F_{Dist}$,0.05002064660838573,0.05002064660838573
37,37,$F_{Dist}$,0.014244736632038813,0.014244736632038813
38,38,$F_{Dist}$,0.038582355458478726,0.038582355458478726
39,39,$F_{Dist}$,0.00445024116402082,0.00445024116402082
40,40,$F_{Dist}$,0.014394671595268641,0.014394671595268641
41,41,$F_{Dist}$,0.04435368503962783,0.04435368503962783
42,42,$F_{Dist}$,0.04060851952299819,0.04060851952299819
43,43,$F_{Dist}$,0.02825887872769552,0.02825887872769552
44,44,$F_{Dist}$,0.008098673449832006,0.008098673449832006
45,45,$F_{Dist}$,0.004780796365565991,0.004780796365565991
46,46,$F_{Dist}$,0.008238371048232246,0.008238371048232246
47,47,$F_{Dist}$,0.0010325308731064721,0.0010325308731064721
48,48,$F_{Dist}$,0.016889257534282963,0.016889257534282963
49,49,$F_{Dist}$,0.0029064928071004747,0.0029064928071004747
50,50,$F_{Dist}$,0.005931315021567853,0.005931315021567853
51,51,$F_{Dist}$,0.01129584613566188,0.01129584613566188
52,52,$F_{Dist}$,0.05876588085494384,0.05876588085494384
53,53,$F_{Dist}$,0.09194405272617336,0.09194405272617336
54,54,$F_{Dist}$,0.03948579906178401,0.03948579906178401
55,55,$F_{Dist}$,0.017936456450231612,0.017936456450231612
